Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
classic-pique-polo,Classic Pique Polo,"<p>The foundational piece. Knit-finished placket, structured collar.</p>",Stitch Fit,Polo Shirts,polo-shirts,TRUE,Size,XS,,,,,SF-CLASSICPIQUE-XS,300,,,deny,manual,3500.00,,TRUE,TRUE,,,,,,Classic Pique Polo,"The foundational piece. Knit-finished placket, structured collar.",active
classic-pique-polo,,,,,,,Size,S,,,,,SF-CLASSICPIQUE-S,300,,,deny,manual,3500.00,,TRUE,TRUE,,,,,,,,
classic-pique-polo,,,,,,,Size,M,,,,,SF-CLASSICPIQUE-M,300,,,deny,manual,3500.00,,TRUE,TRUE,,,,,,,,
classic-pique-polo,,,,,,,Size,L,,,,,SF-CLASSICPIQUE-L,300,,,deny,manual,3500.00,,TRUE,TRUE,,,,,,,,
classic-pique-polo,,,,,,,Size,XL,,,,,SF-CLASSICPIQUE-XL,300,,,deny,manual,3500.00,,TRUE,TRUE,,,,,,,,
classic-pique-polo,,,,,,,Size,XXL,,,,,SF-CLASSICPIQUE-XXL,300,,,deny,manual,3500.00,,TRUE,TRUE,,,,,,,,
merino-blend-polo,Merino Blend Polo,"<p>Lightweight warmth. 70% merino, 30% nylon blend.</p>",Stitch Fit,Polo Shirts,polo-shirts,TRUE,Size,XS,,,,,SF-MERINOBLENDP-XS,300,,,deny,manual,3500.00,,TRUE,TRUE,,,,,,Merino Blend Polo,"Lightweight warmth. 70% merino, 30% nylon blend.",active
merino-blend-polo,,,,,,,Size,S,,,,,SF-MERINOBLENDP-S,300,,,deny,manual,3500.00,,TRUE,TRUE,,,,,,,,
merino-blend-polo,,,,,,,Size,M,,,,,SF-MERINOBLENDP-M,300,,,deny,manual,3500.00,,TRUE,TRUE,,,,,,,,
merino-blend-polo,,,,,,,Size,L,,,,,SF-MERINOBLENDP-L,300,,,deny,manual,3500.00,,TRUE,TRUE,,,,,,,,
merino-blend-polo,,,,,,,Size,XL,,,,,SF-MERINOBLENDP-XL,300,,,deny,manual,3500.00,,TRUE,TRUE,,,,,,,,
merino-blend-polo,,,,,,,Size,XXL,,,,,SF-MERINOBLENDP-XXL,300,,,deny,manual,3500.00,,TRUE,TRUE,,,,,,,,
textured-stitch-polo,Textured Stitch Polo,<p>Waffle-knit surface. Tactile without noise.</p>,Stitch Fit,Polo Shirts,polo-shirts,TRUE,Size,XS,,,,,SF-TEXTUREDSTIT-XS,300,,,deny,manual,3500.00,,TRUE,TRUE,,,,,,Textured Stitch Polo,Waffle-knit surface. Tactile without noise.,active
textured-stitch-polo,,,,,,,Size,S,,,,,SF-TEXTUREDSTIT-S,300,,,deny,manual,3500.00,,TRUE,TRUE,,,,,,,,
textured-stitch-polo,,,,,,,Size,M,,,,,SF-TEXTUREDSTIT-M,300,,,deny,manual,3500.00,,TRUE,TRUE,,,,,,,,
textured-stitch-polo,,,,,,,Size,L,,,,,SF-TEXTUREDSTIT-L,300,,,deny,manual,3500.00,,TRUE,TRUE,,,,,,,,
textured-stitch-polo,,,,,,,Size,XL,,,,,SF-TEXTUREDSTIT-XL,300,,,deny,manual,3500.00,,TRUE,TRUE,,,,,,,,
textured-stitch-polo,,,,,,,Size,XXL,,,,,SF-TEXTUREDSTIT-XXL,300,,,deny,manual,3500.00,,TRUE,TRUE,,,,,,,,
